datID sessionID block trial flanker target resp crit rt
1 401 0 0 1 1 1 2 4.399
2 402 0 0 1 0 0 4 2.517
3 402 0 1 0 1 1 2 1.501
4 402 0 2 1 1 1 3 2.001
5 402 0 3 0 0 1 4 2.451
6 402 0 4 0 1 0 2 1.451
7 402 0 5 0 1 0 2 1.468
8 402 0 6 1 1 1 3 1.918
9 402 0 7 0 0 0 2 1.451
10 402 0 8 1 1 1 4 2.434
11 402 0 9 0 0 0 5 3.118
12 402 1 0 1 0 0 4 2.451
13 402 1 1 0 1 0 2 1.451
14 402 1 2 1 1 1 3 2.084
15 402 1 3 0 0 0 4 2.584
16 402 1 4 0 1 1 2 1.534
17 402 1 5 0 1 0 2 2.984
18 402 1 6 1 1 1 3 2.134
19 402 1 7 0 0 0 2 1.418
20 402 1 8 1 1 1 4 2.584
21 402 1 9 0 0 0 5 2.917
22 402 2 0 1 0 1 4 2.467
23 402 2 1 0 1 0 2 1.501
24 402 2 2 1 1 1 3 1.968
25 402 2 3 0 0 0 4 2.451
26 402 2 4 0 1 0 2 1.517
27 402 2 5 0 1 1 2 1.568
28 402 2 6 1 1 1 3 2.034
29 402 2 7 0 0 0 2 1.401
30 402 2 8 1 1 1 4 2.584
31 402 2 9 0 0 0 5 2.901
32 402 3 0 1 0 1 4 2.551
33 402 3 1 0 1 0 2 1.434
34 402 3 2 1 1 1 3 2.001
35 402 3 3 0 0 0 4 2.451
36 402 3 4 0 1 1 2 1.484
37 402 3 5 0 1 0 2 1.584
38 402 3 6 1 1 1 3 1.934
39 402 3 7 0 0 0 2 1.651
40 402 3 8 1 1 1 4 2.468
41 402 3 9 0 0 0 5 3.084
42 402 4 0 1 0 1 4 3.018
43 402 4 1 0 1 0 2 1.401
44 402 4 2 1 1 1 3 1.901
45 402 4 3 0 0 0 4 2.401
46 402 4 4 0 1 1 2 1.684
47 402 4 5 0 1 0 2 2.501
48 402 4 6 1 1 1 3 1.951
49 402 4 7 0 0 0 2 1.434
50 402 4 8 1 1 1 4 3.068
