datID sessionID block trial flanker target resp crit rt
51 402 4 9 0 0 0 5 2.934
52 403 0 0 1 1 1 5 3.117
53 403 0 1 0 1 0 3 2.851
54 403 0 2 0 1 0 4 2.551
55 403 0 3 1 0 1 2 2.167
56 403 0 4 1 1 1 3 2.784
57 403 0 5 1 1 1 4 3.234
58 403 0 6 1 0 1 3 3.634
59 403 0 7 0 0 0 4 2.601
60 403 0 8 0 0 0 4 4.51
61 403 0 9 0 1 0 2 2.901
62 403 1 0 1 1 0 5 5.754
63 403 1 1 0 1 0 3 4.087
64 403 1 2 0 1 0 4 3.717
65 403 1 3 1 0 1 2 3.101
66 403 1 4 1 1 1 3 4.3
67 403 1 5 1 1 1 4 4.398
68 403 1 6 1 0 1 3 3.851
69 403 1 7 0 0 0 4 4.902
70 403 1 8 0 0 0 4 4.384
71 403 1 9 0 1 0 2 2.484
72 403 2 0 1 1 1 5 2.917
73 403 2 1 0 1 0 3 2.251
74 403 2 2 0 1 0 4 2.801
75 403 2 3 1 0 1 2 1.701
76 403 2 4 1 1 1 3 2.168
77 403 2 5 1 1 1 4 2.518
78 403 2 6 1 0 1 3 2.134
79 403 2 7 0 0 0 4 2.534
80 403 2 8 0 0 0 4 2.467
81 403 2 9 0 1 0 2 4.402
82 403 3 0 1 1 1 5 3.067
83 403 3 1 0 1 0 3 2.134
84 403 3 2 0 1 0 4 3.301
85 403 3 3 1 0 1 2 1.784
86 403 3 4 1 1 1 3 2.001
87 403 3 5 1 1 1 4 2.434
88 403 3 6 1 0 1 3 2.717
89 403 3 7 0 0 0 4 2.617
90 403 3 8 0 0 0 4 2.418
91 403 3 9 0 1 0 2 2.301
92 403 4 0 1 1 1 5 3.067
93 403 4 1 0 1 0 3 1.968
94 403 4 2 0 1 0 4 2.901
95 403 4 3 1 0 1 2 1.601
96 403 4 4 1 1 1 3 2.051
97 403 4 5 1 1 1 4 2.568
98 403 4 6 1 0 1 3 1.917
99 403 4 7 0 0 0 4 2.468
100 403 4 8 0 0 1 4 2.584
101 403 4 9 0 1 0 2 1.884
102 404 0 0 1 0 0 5 3.183
103 404 0 1 1 1 1 4 2.651
104 404 1 0 1 0 0 5 3.184
105 404 1 1 1 1 1 4 2.584
106 404 2 0 1 0 0 5 2.951
107 404 2 1 1 1 1 4 2.601
108 404 3 0 1 0 0 5 4.489
109 404 3 1 1 1 1 4 2.684
110 404 4 0 1 0 0 5 3.084
111 404 4 1 1 1 1 4 2.901
112 405 0 0 1 1 1 5 4.274
113 405 0 1 1 1 1 2 1.967
114 405 0 2 1 0 0 3 1.851
115 405 1 0 1 1 1 5 2.934
116 405 1 1 1 1 1 2 1.617
117 405 1 2 1 0 0 3 1.901
118 410 0 1 1 1 1 4 2.567
119 410 0 2 0 0 0 4 2.651
120 410 1 3 1 1 1 4 2.484
121 410 1 4 0 0 0 4 2.367
122 410 2 5 1 1 1 4 2.534
123 410 2 6 0 0 0 4 2.417
124 411 0 1 0 1 1 4 2.684
125 411 0 2 1 0 0 3 1.867
126 411 0 3 1 1 1 2 1.518
127 411 0 4 0 0 0 2 4.136
128 411 1 5 0 1 1 4 2.651
129 411 1 6 1 0 0 3 1.917
130 411 1 7 1 1 1 2 1.434
131 411 1 8 0 0 0 2 1.434
132 411 2 9 0 1 1 4 2.334
133 411 2 10 1 0 0 3 1.884
134 411 2 11 1 1 1 2 1.434
135 411 2 12 0 0 0 2 1.484
136 412 0 1 0 1 1 2 1.734
137 412 0 2 0 1 1 5 3.067
138 412 0 3 1 1 1 4 2.551
139 412 0 4 1 1 1 4 2.401
140 412 0 5 0 0 0 2 1.517
141 412 0 6 0 1 1 3 1.984
142 412 0 7 0 1 0 3 2.051
143 412 0 8 1 0 0 2 1.484
144 412 0 9 1 1 1 5 3.018
145 412 0 10 1 0 0 2 1.568
146 412 0 11 1 1 1 5 3.051
147 412 0 12 0 1 1 4 2.634
148 412 0 13 0 0 0 5 2.968
149 412 0 14 0 1 1 5 2.984
150 412 0 15 1 1 1 3 2.018
151 412 0 16 1 0 0 2 1.45
152 412 0 17 0 1 0 3 1.951
153 412 0 18 0 0 0 2 1.717
154 412 0 19 1 0 0 3 1.884
155 412 0 20 0 0 0 5 2.917
156 412 0 21 0 1 1 2 1.618
157 412 0 22 0 1 1 4 2.501
158 412 0 23 1 0 0 5 2.968
159 412 0 24 1 0 0 3 2.118
160 412 0 25 1 0 0 2 1.701
161 412 0 26 1 1 1 2 1.534
162 412 0 27 0 0 0 5 3.034
163 412 0 28 1 0 0 2 1.501
164 412 0 29 1 0 0 2 1.433
165 412 0 30 0 1 1 5 3.051
166 412 0 31 1 1 1 4 2.451
167 412 0 32 0 0 0 3 1.917
168 412 0 33 0 0 0 2 1.584
169 412 0 34 0 0 1 3 1.567
170 412 0 35 1 1 1 3 2.068
171 412 0 36 0 0 0 4 2.568
172 412 0 37 1 1 1 2 2.017
173 412 0 38 1 0 0 4 2.568
174 412 0 39 1 0 0 4 2.651
175 412 0 40 0 1 1 2 1.551
176 412 1 41 1 1 1 2 1.517
177 412 1 42 1 0 0 5 2.918
178 412 1 43 1 0 0 4 2.468
179 412 1 44 0 0 0 4 2.568
180 412 1 45 0 0 0 2 1.518
181 412 1 46 1 0 0 3 1.968
182 412 1 47 1 1 1 3 2.151
183 412 1 48 0 0 0 2 1.434
184 412 1 49 0 1 1 5 3.168
185 412 1 50 0 1 0 2 1.501
186 412 1 51 0 1 1 5 3.051
187 412 1 52 1 0 0 4 2.551
188 412 1 53 0 1 1 5 3.001
189 412 1 54 1 0 0 5 2.968
190 412 1 55 1 1 1 3 1.951
191 412 1 56 1 1 1 2 1.6
192 412 1 57 1 1 1 3 2.018
193 412 1 58 0 1 1 2 1.717
194 412 1 59 1 0 0 3 1.934
195 412 1 60 0 0 1 5 3.067
196 412 1 61 0 0 0 2 1.584
197 412 1 62 1 0 0 4 2.417
198 412 1 63 0 0 0 5 2.917
199 412 1 64 0 1 1 3 2.101
200 412 1 65 0 1 1 2 1.584
201 412 1 66 0 0 0 2 1.451
202 412 1 67 0 0 0 5 2.917
203 412 1 68 1 0 0 2 1.567
204 412 1 69 0 0 0 2 1.468
205 412 1 70 0 1 1 5 3.084
206 412 1 71 0 1 1 4 2.601
207 412 1 72 0 1 1 3 1.951
208 412 1 73 1 0 0 2 1.468
209 412 1 74 1 0 0 3 2.051
210 412 1 75 1 1 1 3 1.984
211 412 1 76 0 1 1 4 2.534
212 412 1 77 1 1 1 2 1.567
213 412 1 78 0 0 0 4 2.451
214 412 1 79 1 1 1 4 2.434
215 412 1 80 1 0 0 2 1.484
216 412 2 81 1 0 0 2 1.801
217 412 2 82 1 0 0 5 3.084
218 412 2 83 1 1 1 4 2.501
219 412 2 84 1 0 0 4 2.434
220 412 2 85 0 0 0 2 2.167
221 412 2 86 0 0 0 3 1.968
222 412 2 87 0 0 0 3 1.967
223 412 2 88 1 0 0 2 1.534
224 412 2 89 1 1 1 5 2.884
225 412 2 90 1 1 1 2 1.467
226 412 2 91 1 1 1 5 2.918
227 412 2 92 0 1 1 4 2.784
228 412 2 93 1 1 1 5 3.101
229 412 2 94 0 1 1 5 3.001
230 412 2 95 0 1 1 3 1.934
231 412 2 96 1 1 1 2 1.651
232 412 2 97 1 0 1 3 2.001
233 412 2 98 0 0 0 2 1.634
234 412 2 99 0 0 0 3 1.934
235 412 2 100 0 0 0 5 2.884
236 412 2 101 1 1 1 2 1.868
237 412 2 102 1 0 0 4 2.401
238 412 2 103 1 1 1 5 2.951
239 412 2 104 0 1 1 3 2.001
240 412 2 105 1 1 1 2 1.584
241 412 2 106 1 0 0 2 1.451
242 412 2 107 0 1 1 5 2.918
243 412 2 108 1 1 1 2 1.518
244 412 2 109 0 1 1 2 1.484
245 412 2 110 0 0 0 5 2.918
246 412 2 111 0 1 1 4 2.584
247 412 2 112 1 0 0 3 2.034
248 412 2 113 0 0 0 2 1.434
249 412 2 114 1 0 0 3 2.118
250 412 2 115 0 1 1 3 2.017
251 412 2 116 0 0 0 4 2.451
252 412 2 117 0 1 1 2 1.651
253 412 2 118 0 0 0 4 2.434
254 412 2 119 0 1 1 4 2.534
255 412 2 120 1 0 0 2 1.534
256 412 3 121 1 0 0 2 1.384
257 412 3 122 0 0 0 5 2.901
258 412 3 123 1 0 0 4 2.434
259 412 3 124 0 1 0 4 2.501
260 412 3 125 1 1 1 2 1.451
261 412 3 126 0 1 1 3 2.101
262 412 3 127 0 0 0 3 1.967
263 412 3 128 1 1 1 2 1.601
264 412 3 129 0 1 1 5 2.984
265 412 3 130 0 0 0 2 1.484
266 412 3 131 0 1 1 5 2.935
267 412 3 132 0 1 0 4 2.417
268 412 3 133 1 1 1 5 2.984
269 412 3 134 1 0 0 5 3.101
270 412 3 135 1 1 1 3 2.001
271 412 3 136 0 0 0 2 1.417
272 412 3 137 0 1 1 3 2.034
273 412 3 138 1 1 1 2 1.551
274 412 3 139 1 0 1 3 1.951
275 412 3 140 1 0 0 5 3.084
276 412 3 141 1 0 0 2 1.501
277 412 3 142 1 1 1 4 2.417
278 412 3 143 0 1 1 5 3.018
279 412 3 144 1 0 0 3 1.884
280 412 3 145 0 1 1 2 1.618
281 412 3 146 1 1 1 2 1.501
282 412 3 147 1 1 1 5 3.018
283 412 3 148 0 0 0 2 1.501
284 412 3 149 0 0 0 2 1.534
285 412 3 150 1 1 1 5 2.934
286 412 3 151 1 1 1 4 2.551
287 412 3 152 0 1 0 3 1.951
288 412 3 153 1 0 0 2 1.534
289 412 3 154 0 0 0 3 1.884
290 412 3 155 1 0 0 3 1.984
291 412 3 156 1 1 1 4 2.418
292 412 3 157 0 0 0 2 1.501
293 412 3 158 0 1 1 4 2.534
294 412 3 159 1 0 0 4 2.468
295 412 3 160 0 0 0 2 1.667
296 412 4 161 0 0 0 2 1.517
297 412 4 162 0 0 0 5 2.901
298 412 4 163 1 0 0 4 2.384
299 412 4 164 0 1 1 4 2.551
300 412 4 165 1 0 0 2 1.434
301 412 4 166 0 0 0 3 1.901
302 412 4 167 0 1 1 3 1.918
303 412 4 168 1 1 1 2 1.501
304 412 4 169 1 0 0 5 3.034
305 412 4 170 0 1 1 2 1.851
306 412 4 171 1 1 1 5 3.034
307 412 4 172 0 1 1 4 2.534
308 412 4 173 1 0 0 5 2.984
309 412 4 174 1 1 1 5 2.984
310 412 4 175 0 1 1 3 2.234
311 412 4 176 1 0 0 2 1.534
312 412 4 177 1 1 1 3 2.067
313 412 4 178 0 0 0 2 1.501
314 412 4 179 0 0 0 3 1.967
315 412 4 180 1 0 0 5 3.234
316 412 4 181 1 1 1 2 1.468
317 412 4 182 0 0 0 4 2.451
318 412 4 183 0 0 0 5 3.051
319 412 4 184 1 0 0 3 1.917
320 412 4 185 1 1 1 2 1.517
321 412 4 186 0 0 0 2 1.567
322 412 4 187 0 0 0 5 2.918
323 412 4 188 1 1 1 2 1.501
324 412 4 189 1 0 0 2 1.434
325 412 4 190 0 1 1 5 3.201
326 412 4 191 0 1 1 4 2.734
327 412 4 192 1 1 1 3 2.084
328 412 4 193 0 0 0 2 1.501
329 412 4 194 0 0 0 3 2.034
330 412 4 195 0 1 1 3 2.084
331 412 4 196 0 1 1 4 2.618
332 412 4 197 1 0 0 2 1.467
333 412 4 198 1 0 0 4 2.667
334 412 4 199 0 1 1 4 2.551
335 412 4 200 1 1 1 2 1.518
336 413 0 1 1 1 1 4 0.551
337 413 0 2 1 1 1 3 0.484
338 413 0 3 0 1 1 3 0.468
339 413 0 4 1 1 1 2 0.768
340 413 0 5 1 1 1 5 0.434
341 413 0 6 1 1 1 5 0.468
342 413 0 7 1 0 0 5 0.584
343 413 0 8 1 0 0 3 0.651
344 413 0 9 1 0 0 4 1.201
345 413 0 10 1 1 1 5 0.617
346 413 0 11 0 0 0 5 0.834
347 413 0 12 0 0 0 4 0.667
348 413 0 13 0 0 0 3 0.717
349 413 0 14 1 0 0 3 0.683
350 413 0 15 0 0 0 3 1.017
351 413 0 16 1 1 1 2 0.767
352 413 0 17 1 0 0 3 0.901
353 413 0 18 1 0 0 2 0.951
354 413 0 19 1 1 1 3 0.634
355 413 0 20 0 0 0 5 0.701
356 413 0 21 0 1 1 3 0.951
357 413 0 22 0 1 1 4 0.667
358 413 0 23 0 1 1 2 0.701
359 413 0 24 0 1 1 5 0.634
360 413 0 25 1 0 0 5 0.901
361 413 0 26 1 1 1 4 0.917
362 413 0 27 0 1 1 4 0.751
363 413 0 28 0 1 1 3 0.901
364 413 0 29 0 1 1 2 0.718
365 413 0 30 1 1 1 3 0.751
366 413 0 31 0 0 0 3 0.751
367 413 0 32 0 0 0 5 0.734
368 413 0 33 1 0 0 5 0.701
369 413 0 34 0 1 1 3 0.734
370 413 0 35 1 0 0 5 0.651
371 413 0 36 0 1 1 3 0.768
372 413 0 37 0 0 0 5 0.751
373 413 0 38 0 0 0 4 1.051
374 413 0 39 1 0 0 3 1.001
375 413 0 40 0 0 0 4 0.834
376 413 1 41 0 0 0 4 0.601
377 413 1 42 1 0 0 3 0.584
378 413 1 43 0 1 1 3 0.684
379 413 1 44 0 0 0 2 0.951
380 413 1 45 1 0 0 5 0.668
381 413 1 46 1 1 1 5 0.551
382 413 1 47 1 1 1 5 0.701
383 413 1 48 1 0 0 3 0.951
384 413 1 49 0 0 0 4 0.701
385 413 1 50 1 0 0 5 1.034
386 413 1 51 0 0 0 5 0.601
387 413 1 52 1 0 0 4 0.784
388 413 1 53 1 0 0 3 0.551
389 413 1 54 0 1 1 3 0.801
390 413 1 55 0 1 1 3 1.268
391 413 1 56 1 0 0 2 1.101
392 413 1 57 1 1 1 3 0.618
393 413 1 58 0 0 0 2 0.551
394 413 1 59 1 1 1 3 0.734
395 413 1 60 0 0 0 5 0.568
396 413 1 61 1 0 0 3 0.717
397 413 1 62 0 1 1 4 0.801
398 413 1 63 0 1 1 2 0.817
399 413 1 64 1 1 1 5 0.551
400 413 1 65 1 1 1 5 0.684
401 413 1 66 0 1 1 4 0.717
402 413 1 67 0 0 0 4 0.801
403 413 1 68 0 1 1 3 0.751
404 413 1 69 1 1 1 2 0.751
405 413 1 70 1 0 0 3 1.018
406 413 1 71 0 0 0 3 0.584
407 413 1 72 1 0 0 5 0.534
408 413 1 73 0 1 1 5 0.634
409 413 1 74 1 1 1 3 0.767
410 413 1 75 0 1 1 5 0.734
411 413 1 76 0 1 1 3 0.651
412 413 1 77 1 1 1 5 0.618
413 413 1 78 0 0 0 4 0.518
414 413 1 79 0 0 0 3 0.518
415 413 1 80 0 0 0 4 0.751
416 413 2 81 1 0 0 4 0.701
417 413 2 82 0 1 1 3 0.634
418 413 2 83 1 0 0 3 0.701
419 413 2 84 1 1 1 2 0.718
420 413 2 85 0 1 1 5 0.717
421 413 2 86 0 0 0 5 0.534
422 413 2 87 1 0 0 5 0.701
423 413 2 88 1 0 0 3 0.684
424 413 2 89 1 1 1 4 0.768
425 413 2 90 0 1 1 5 0.518
426 413 2 91 0 0 0 5 0.668
427 413 2 92 0 0 0 4 0.651
428 413 2 93 1 0 0 3 0.734
429 413 2 94 1 1 1 3 0.551
430 413 2 95 0 1 1 3 0.751
431 413 2 96 0 0 0 2 0.618
432 413 2 97 1 0 0 3 0.784
433 413 2 98 0 1 1 2 0.767
434 413 2 99 0 1 1 3 0.601
435 413 2 100 0 1 1 5 0.701
436 413 2 101 1 1 1 3 0.701
437 413 2 102 0 0 0 4 0.517
438 413 2 103 0 1 1 2 0.517
439 413 2 104 1 1 1 5 0.568
440 413 2 105 1 1 1 5 0.534
441 413 2 106 0 0 1 4 0.634
442 413 2 107 1 1 1 4 0.551
443 413 2 108 0 1 1 3 0.684
444 413 2 109 1 0 0 2 0.717
445 413 2 110 0 0 0 3 0.584
446 413 2 111 0 0 0 3 0.568
447 413 2 112 0 0 0 5 0.401
448 413 2 113 1 1 1 5 0.517
449 413 2 114 0 0 0 3 0.834
450 413 2 115 1 0 0 5 0.484
451 413 2 116 0 1 1 3 1.334
452 413 2 117 0 0 0 5 0.634
453 413 2 118 1 1 1 4 0.784
454 413 2 119 0 1 1 3 0.618
455 413 2 120 1 1 1 4 0.618
456 413 3 121 1 1 1 4 0.467
457 413 3 122 1 0 0 3 0.518
458 413 3 123 0 0 0 3 0.701
459 413 3 124 1 0 0 2 0.817
460 413 3 125 0 0 0 5 0.618
461 413 3 126 1 1 1 5 0.668
462 413 3 127 1 0 0 5 0.584
463 413 3 128 1 1 1 3 0.918
464 413 3 129 0 1 1 4 0.801
465 413 3 130 1 0 0 5 0.817
466 413 3 131 0 0 0 5 0.634
467 413 3 132 0 1 1 4 0.751
468 413 3 133 0 1 1 3 0.617
469 413 3 134 0 0 0 3 0.701
470 413 3 135 1 1 1 3 0.901
471 413 3 136 0 0 0 2 0.684
472 413 3 137 0 1 1 3 0.734
473 413 3 138 0 0 0 2 0.551
474 413 3 139 0 1 1 3 0.818
475 413 3 140 0 1 1 5 0.65
476 413 3 141 1 1 1 3 0.784
477 413 3 142 1 0 0 4 0.484
478 413 3 143 0 1 1 2 1.084
479 413 3 144 1 1 1 5 0.567
480 413 3 145 0 1 1 5 0.784
481 413 3 146 1 1 1 4 0.65
482 413 3 147 1 0 0 4 0.6
483 413 3 148 0 0 0 3 0.734
484 413 3 149 1 0 0 2 0.517
485 413 3 150 0 0 0 3 0.617
486 413 3 151 1 0 0 3 0.583
487 413 3 152 1 1 1 5 0.817
488 413 3 153 1 0 0 5 0.434
489 413 3 154 0 0 0 3 0.85
490 413 3 155 0 0 0 5 0.517
491 413 3 156 1 1 1 3 0.717
492 413 3 157 1 1 1 5 0.6
493 413 3 158 1 1 1 4 0.55
494 413 3 159 0 1 1 3 0.834
495 413 3 160 0 0 0 4 0.534
496 413 4 161 0 0 1 4 0.534
497 413 4 162 1 1 1 3 0.684
498 413 4 163 1 1 1 3 0.65
499 413 4 164 0 1 1 2 0.667
500 413 4 165 0 0 0 5 0.734
501 413 4 166 1 0 0 5 0.834
502 413 4 167 1 1 1 5 0.55
503 413 4 168 0 1 1 3 0.9
504 413 4 169 1 0 0 4 0.6
505 413 4 170 0 1 1 5 0.534
506 413 4 171 0 0 0 5 0.884
507 413 4 172 1 0 0 4 1.083
508 413 4 173 1 0 0 3 0.95
509 413 4 174 1 0 0 3 0.767
510 413 4 175 0 0 0 3 0.717
511 413 4 176 0 1 1 2 0.583
512 413 4 177 1 1 1 3 1.1
513 413 4 178 1 1 1 2 0.834
514 413 4 179 1 0 0 3 1.117
515 413 4 180 1 1 1 5 0.8
516 413 4 181 0 1 1 3 0.817
517 413 4 182 0 0 0 4 5.298
518 413 4 183 1 0 0 2 0.784
519 413 4 184 0 0 0 5 1.217
520 413 4 185 0 1 1 5 0.7
521 413 4 186 1 0 0 4 0.584
522 413 4 187 0 1 1 4 0.601
523 413 4 188 1 1 1 3 0.684
524 413 4 189 1 1 1 2 0.817
525 413 4 190 1 0 0 3 0.718
526 413 4 191 1 1 1 3 0.767
527 413 4 192 0 0 0 5 0.551
528 413 4 193 0 1 1 5 1.168
529 413 4 194 1 0 0 3 1.018
530 413 4 195 0 1 1 5 1.201
531 413 4 196 0 1 1 3 1.184
532 413 4 197 1 0 0 5 0.801
533 413 4 198 1 1 1 4 0.684
534 413 4 199 0 0 0 3 0.834
535 413 4 200 0 0 0 4 0.701
