datID sessionID block trial length correctResp resp rt
160 445 2 19 99.999 7 7 1.182
161 445 2 20 99.999 3 3 1.933
162 445 2 21 99.999 6 6 1.741
163 445 2 22 99.999 6 6 0.564
164 445 2 23 99.999 6 6 0.494
165 445 2 24 99.999 4 4 1.15
166 445 2 25 99.999 1 1 1.3
167 445 2 26 99.999 4 4 1.454
168 445 2 27 99.999 1 1 1.154
169 445 2 28 99.999 3 3 1.166
170 445 2 29 99.999 2 2 0.993
171 445 2 30 99.999 1 1 0.766
172 445 2 31 99.999 7 7 1.501
173 445 2 32 99.999 3 3 2.03
174 445 2 33 99.999 4 5 1.647
175 445 2 34 99.999 4 4 0.941
176 445 2 35 99.999 1 1 1.118
177 445 2 36 99.999 6 6 1.278
178 445 2 37 99.999 7 7 0.67
179 445 2 38 99.999 6 6 0.829
180 445 2 39 99.999 5 6 1.198
181 445 2 40 99.999 5 5 0.896
182 445 2 41 99.999 7 7 0.974
183 445 2 42 99.999 2 2 1.571
184 445 2 43 99.999 1 1 0.573
185 445 2 44 99.999 3 3 0.672
186 445 2 45 99.999 3 3 1.133
187 445 2 46 99.999 7 7 1.278
188 445 2 47 99.999 7 7 0.781
189 445 2 48 99.999 4 4 2.125
190 445 2 49 99.999 1 1 1.325
191 445 2 50 99.999 7 7 1.628
192 445 2 51 99.999 5 5 2.08
193 445 2 52 99.999 7 7 1.901
194 445 2 53 99.999 4 4 2.045
195 445 2 54 99.999 7 7 1.229
196 445 2 55 99.999 2 2 1.166
197 445 2 56 99.999 4 4 1.47
198 445 2 57 99.999 5 5 1.02
199 445 2 58 99.999 5 5 0.542
200 445 2 59 99.999 3 3 1.249
201 445 2 60 99.999 4 4 0.878
202 445 2 61 99.999 2 2 1.216
203 445 2 62 99.999 2 2 0.544
204 445 2 63 99.999 6 6 1.933
205 445 2 64 99.999 1 1 1.053
206 445 2 65 99.999 6 6 1.407
207 445 2 66 99.999 4 4 3.465
208 445 2 67 99.999 1 1 1.021
209 445 2 68 99.999 2 2 0.814
210 445 2 69 99.999 6 6 1.182
211 446 0 0 99.999 1 1 1.365
212 446 0 1 99.999 4 3 2.905
213 446 0 2 99.999 5 5 1.323
214 446 0 3 99.999 5 5 0.893
215 446 0 4 99.999 6 6 1.25
216 446 0 5 99.999 4 4 1.261
217 446 0 6 99.999 4 4 0.684
218 446 0 7 99.999 3 3 2.529
219 446 0 8 99.999 1 1 5.134
220 446 0 9 99.999 4 4 5.156
221 446 0 10 99.999 3 3 1.181
222 446 0 11 99.999 4 4 2.291
223 446 0 12 99.999 6 7 2.563
224 446 0 13 99.999 2 2 1.371
225 446 0 14 99.999 6 6 2.526
