datID sessionID block trial stimGlobA stimGLobB weightA correctResp resp rt
1 441 0 0 23 41 2 6 5 6.089
2 441 0 1 23 41 0 1 1 1.589
3 441 0 2 23 41 2 7 7 6.658
4 441 0 3 23 41 3 8 8 0.852
5 441 0 4 23 41 1 4 2 3.348
6 441 0 5 23 41 3 8 8 1.136
7 441 0 6 23 41 0 2 1 6.777
8 441 0 7 23 41 1 4 5 2.512
9 441 0 8 23 41 1 4 4 0.906
10 441 0 9 23 41 1 5 5 1.404
11 441 0 10 23 41 3 8 7 1.403
12 441 0 11 23 41 0 1 1 0.689
13 441 0 12 23 41 3 8 8 2.327
14 441 0 13 23 41 1 4 4 3.495
15 441 0 14 23 41 0 2 2 1.874
16 441 0 15 23 41 1 3 3 0.734
17 441 0 16 23 41 2 6 5 2.577
18 441 0 17 23 41 2 6 6 0.619
19 441 0 18 23 41 2 7 7 1.048
20 441 0 19 23 41 1 5 4 1.915
21 441 0 20 23 41 1 3 2 1.669
22 441 0 21 23 41 1 3 2 0.76
23 441 0 22 23 41 3 8 8 1.192
24 441 0 23 23 41 0 2 2 1.663
25 441 0 24 23 41 1 4 4 1.716
26 441 0 25 23 41 1 5 5 1.431
27 441 0 26 23 41 0 1 1 0.997
28 441 0 27 23 41 2 7 6 5.22
29 441 0 28 23 41 0 1 1 0.756
30 441 0 29 23 41 1 3 3 6.45
31 441 0 30 23 41 2 6 5 2.663
32 441 0 31 23 41 1 5 4 4.472
33 441 0 32 23 41 0 2 2 1.776
34 441 0 33 23 41 1 3 3 1.153
35 441 0 34 23 41 1 3 3 1.111
36 441 0 35 23 41 2 6 5 4.787
37 441 0 36 23 41 2 6 6 0.898
38 441 0 37 23 41 2 7 7 1.461
39 441 0 38 23 41 1 4 4 2.546
40 441 0 39 23 41 2 6 6 1.315
41 441 0 40 23 41 0 2 2 1.83
42 441 0 41 23 41 1 4 4 2.212
43 441 0 42 23 41 0 1 1 0.804
44 441 0 43 23 41 0 2 2 1.684
45 441 0 44 23 41 2 6 6 1.261
46 441 0 45 23 41 0 1 1 1.148
47 441 0 46 23 41 3 8 8 0.873
48 441 0 47 23 41 3 8 8 0.91
49 441 0 48 23 41 1 3 3 3.136
50 441 0 49 23 41 1 3 3 0.554
51 441 0 50 23 41 2 6 6 3.835
52 441 0 51 23 41 1 4 4 3.043
53 441 0 52 23 41 2 6 5 0.902
54 441 0 53 23 41 2 6 6 0.452
55 441 0 54 23 41 1 3 2 4.537
56 441 0 55 23 41 1 4 4 0.887
57 441 0 56 23 41 0 2 2 1.819
58 441 0 57 23 41 1 3 3 1.401
59 441 0 58 23 41 1 5 4 2.345
60 441 0 59 23 41 2 7 7 2.512
61 441 0 60 23 41 2 7 7 0.524
62 441 0 61 23 41 0 1 1 1.077
63 441 0 62 23 41 2 6 6 3.457
64 441 0 63 23 41 2 7 7 0.957
65 441 0 64 23 41 1 5 5 2.413
66 441 0 65 23 41 2 6 6 0.596
67 441 0 66 23 41 2 7 7 0.66
68 441 0 67 23 41 3 8 8 0.434
69 441 0 68 23 41 0 2 2 6.671
70 441 0 69 23 41 2 7 7 1.47
71 441 0 70 23 41 1 5 5 1.713
72 441 0 71 23 41 0 2 2 2.738
73 441 0 72 23 41 0 2 2 0.476
74 441 0 73 23 41 2 7 7 3.488
75 441 0 74 23 41 0 1 1 1.002
76 441 0 75 23 41 1 5 5 2.233
77 441 0 76 23 41 0 2 2 5.32
78 441 0 77 23 41 1 4 4 1.466
