datID sessionID block trial background target forePeriod resp rt
159 361 2 22 0 15 31 1 0.198
160 361 2 23 1 17 40 1 0.221
161 361 2 24 1 18 39 1 0.239
162 361 2 25 0 8 32 0 0.425
163 361 2 26 1 4 33 0 0.199
164 361 2 27 2 19 32 1 0.178
165 361 2 28 0 12 31 1 0.239
166 361 2 29 1 7 33 0 0.2
167 361 2 30 2 18 32 1 0.195
168 361 2 31 0 3 33 0 0.27
169 361 2 32 1 4 32 1 0.199
170 361 2 33 0 3 32 0 0.322
171 361 2 34 1 12 34 1 0.392
172 361 2 35 1 5 34 0 0.188
173 361 2 36 2 2 33 0 0.247
174 361 2 37 2 9 34 0 0.287
175 361 2 38 0 15 31 1 0.2
176 361 2 39 1 4 31 0 0.259
177 361 2 40 2 2 31 0 0.269
178 361 2 41 1 16 33 1 0.246
179 361 2 42 2 10 31 0 0.271
180 361 2 43 2 19 31 1 0.281
181 361 2 44 0 2 33 0 0.241
182 361 2 45 1 15 35 1 0.313
183 361 2 46 0 11 33 1 0.24
184 361 2 47 2 2 33 0 0.234
185 361 2 48 2 15 32 1 0.356
186 361 2 49 0 15 33 1 0.361
187 361 2 50 0 13 31 1 0.239
188 361 2 51 1 4 34 0 0.296
189 361 2 52 1 18 33 1 0.191
190 361 2 53 0 17 33 1 0.297
191 361 2 54 0 8 37 1 0.271
192 361 2 55 1 19 31 0 0.184
193 361 2 56 1 10 35 0 0.209
194 361 2 57 1 2 32 1 0.189
195 361 2 58 2 12 33 0 0.232
196 361 2 59 1 15 36 1 0.287
197 361 2 60 2 20 33 1 0.279
198 361 2 61 1 20 32 1 0.24
199 361 2 62 2 0 33 0 0.249
200 361 3 0 0 3 34 0 0.258
201 361 3 1 1 8 32 1 0.282
202 361 3 2 2 7 31 1 0.259
203 361 3 3 2 3 32 0 0.366
204 361 3 4 0 3 34 0 0.29
205 361 3 5 0 18 31 1 0.266
206 361 3 6 1 12 35 0 0.257
207 361 3 7 2 8 32 1 0.251
208 361 3 8 2 14 36 1 0.258
209 361 3 9 2 11 31 1 0.379
210 361 3 10 1 0 32 0 0.192
211 361 3 11 0 8 35 1 0.234
212 361 3 12 2 16 37 0 0.177
213 361 3 13 1 18 33 1 0.317
214 361 3 14 2 9 31 0 0.277
215 361 3 15 1 3 34 0 0.266
216 361 3 16 0 13 34 1 0.193
217 361 3 17 2 0 34 0 0.284
218 361 3 18 1 12 31 1 0.373
219 361 3 19 1 15 31 1 0.267
220 361 3 20 1 11 36 1 0.252
221 361 3 21 0 19 37 1 0.323
222 361 3 22 2 11 32 1 0.554
223 361 3 23 2 14 32 1 0.328
224 361 3 24 2 4 32 0 0.188
225 361 3 25 0 7 31 1 0.2
226 361 3 26 2 4 31 0 0.276
227 361 3 27 2 12 31 1 0.253
228 361 3 28 0 0 31 0 0.245
229 361 3 29 0 12 33 1 0.239
230 361 3 30 0 11 32 1 0.217
231 361 3 31 2 0 37 0 0.192
232 361 3 32 1 1 31 0 0.363
233 361 3 33 1 3 31 0 0.289
234 361 3 34 2 0 36 0 0.263
235 361 3 35 2 18 32 1 0.272
236 361 3 36 0 11 31 1 0.249
237 361 3 37 0 18 36 1 0.24
238 361 3 38 0 11 32 1 0.298
239 361 3 39 1 9 38 1 0.511
240 361 3 40 2 10 33 0 0.111
241 361 3 41 1 19 31 1 0.19
242 361 3 42 0 7 31 0 0.426
243 361 3 43 1 11 32 1 0.222
244 361 3 44 2 20 34 1 0.231
245 361 3 45 1 12 31 1 0.354
246 361 3 46 0 9 32 1 0.343
247 361 3 47 1 13 33 0 0.172
248 361 3 48 0 3 35 1 0.119
249 361 3 49 1 9 33 0 0.34
250 361 3 50 0 20 33 1 0.153
251 361 3 51 1 6 31 0 0.229
252 361 3 52 1 18 33 1 0.174
253 361 3 53 2 7 33 0 0.362
254 361 3 54 2 18 35 1 0.173
255 361 3 55 0 14 33 1 0.402
256 361 3 56 0 20 33 1 0.278
257 361 3 57 0 20 33 1 0.222
258 361 3 58 1 2 34 0 0.231
259 361 3 59 1 2 32 1 0.225
260 361 3 60 1 14 35 0 0.132
261 361 3 61 1 5 31 0 0.32
262 361 3 62 2 17 33 1 0.246
263 361 4 0 2 10 31 0 0.271
264 361 4 1 1 3 34 0 0.246
265 361 4 2 1 6 33 0 0.224
266 361 4 3 0 14 32 1 0.202
267 361 4 4 1 0 37 0 0.195
268 361 4 5 1 9 31 1 0.351
