datID sessionID block trial stimGlobA stimGLobB weightA correctResp resp rt
144 432 1 63 23 41 1 5 4 0.546
145 432 1 64 23 41 1 7 7 4.199
146 432 1 65 23 41 1 8 8 1.645
147 432 1 66 23 41 0 4 2 1.644
148 432 1 67 23 41 0 3 4 1.144
149 432 1 68 23 41 1 5 4 2.823
150 432 1 69 23 41 1 8 8 3.12
151 432 1 70 23 41 0 3 4 7.75
152 432 1 71 23 41 1 6 6 1.552
153 432 1 72 23 41 1 6 6 0.625
154 432 1 73 23 41 1 8 8 1.125
155 432 1 74 23 41 1 6 5 1.472
156 432 1 75 23 41 0 2 1 2.997
157 432 1 76 23 41 1 5 4 1.924
158 432 1 77 23 41 1 6 5 3.222
159 432 1 78 23 41 0 1 1 2.296
160 432 1 79 23 41 1 5 5 3.19
161 432 2 0 23 41 1 6 5 2.417
162 432 2 1 23 41 1 5 6 3.259
163 432 2 2 23 41 0 2 3 3.595
164 432 2 3 23 41 1 8 8 1.476
165 432 2 4 23 41 1 7 7 2.078
166 432 2 5 23 41 1 8 8 1.25
167 432 2 6 23 41 0 2 1 1.703
168 432 2 7 23 41 0 4 4 1.602
169 432 2 8 23 41 1 6 6 3.527
170 432 2 9 23 41 0 3 3 3.889
171 432 2 10 23 41 0 3 3 0.754
172 432 2 11 23 41 0 3 3 0.693
173 432 2 12 23 41 0 4 2 2.123
174 432 2 13 23 41 0 3 3 2.449
175 432 2 14 23 41 1 8 8 3.776
176 432 2 15 23 41 1 5 5 2.375
177 432 2 16 23 41 1 6 5 0.708
178 432 2 17 23 41 0 1 1 1.737
179 432 2 18 23 41 1 5 5 3.658
180 432 2 19 23 41 1 7 7 1.885
181 432 2 20 23 41 1 7 7 0.722
182 432 2 21 23 41 0 1 1 1.839
183 432 2 22 23 41 0 3 3 2.864
184 432 2 23 23 41 1 8 8 1.752
185 432 2 24 23 41 1 6 5 7.624
186 432 2 25 23 41 1 8 8 2.16
187 432 2 26 23 41 1 8 8 0.578
188 432 2 27 23 41 0 2 1 1.385
189 432 2 28 23 41 0 4 4 1.727
190 432 2 29 23 41 1 7 7 3.109
191 432 2 30 23 41 0 4 4 3.068
192 432 2 31 23 41 0 4 4 0.565
193 432 2 32 23 41 0 1 1 1.672
194 432 2 33 23 41 0 3 3 4.824
195 432 2 34 23 41 0 2 2 1.147
196 432 2 35 23 41 1 5 5 3.781
197 432 2 36 23 41 1 7 8 1.713
198 432 2 37 23 41 0 2 1 1.112
199 432 2 38 23 41 0 4 2 1.241
200 432 2 39 23 41 0 4 4 1.073
201 432 2 40 23 41 0 4 4 0.586
202 432 2 41 23 41 0 1 1 1.224
203 432 2 42 23 41 0 1 1 1.074
204 432 2 43 23 41 0 4 4 3.341
205 432 2 44 23 41 0 2 2 3.414
206 432 2 45 23 41 0 1 1 1.18
207 432 2 46 23 41 1 8 8 1.891
208 432 2 47 23 41 1 7 7 3.161
209 432 2 48 23 41 1 5 5 3.464
210 432 2 49 23 41 1 6 6 1.506
211 432 2 50 23 41 0 3 3 4.061
