datID sessionID block trial background target forePeriod resp rt
159 375 1 18 0 7 33 1 0.214
160 375 1 19 0 3 33 0 0.191
161 375 1 20 0 3 31 0 0.162
162 375 1 21 1 3 37 1 0.055
163 375 1 22 0 3 31 1 0.135
164 375 1 23 0 4 31 0 0.338
165 375 1 24 0 2 31 0 0.21
166 375 1 25 0 3 41 1 0.305
167 375 1 26 1 6 32 1 0.212
168 375 1 27 0 4 31 0 0.294
169 375 1 28 1 4 31 0 0.401
170 375 1 29 0 0 31 0 0.403
171 375 1 30 0 6 39 1 0.141
172 375 1 31 1 0 31 0 0.211
173 375 1 32 1 0 31 0 0.18
174 375 1 33 0 5 31 1 0.149
175 375 1 34 0 0 32 0 0.206
176 375 1 35 0 3 35 1 0.206
177 375 1 36 0 0 32 0 0.225
178 375 1 37 0 6 31 1 0.131
179 375 1 38 1 3 32 0 0.309
180 375 1 39 1 4 32 0 0.192
181 375 1 40 1 6 32 1 0.12
182 375 1 41 1 3 31 0 0.175
183 375 1 42 0 2 38 1 0.236
184 375 1 43 0 5 35 1 0.322
185 375 1 44 1 1 32 0 0.122
186 375 1 45 0 0 31 0 0.291
187 375 1 46 1 7 34 1 0.147
188 375 1 47 1 1 31 0 0.1
189 375 1 48 0 2 31 1 0.106
190 375 1 49 1 2 34 0 0.076
191 375 1 50 0 5 33 1 0.188
192 375 1 51 1 2 31 0 0.078
193 375 1 52 0 1 31 0 0.132
194 375 1 53 1 7 32 1 0.032
195 375 1 54 0 6 34 1 0.27
196 375 1 55 0 7 37 1 0.219
197 375 1 56 0 1 32 0 0.158
198 375 1 57 0 1 34 0 0.11
199 375 1 58 0 7 33 1 0.097
200 375 1 59 1 4 33 0 0.112
201 375 2 0 0 0 32 0 0.258
202 375 2 1 1 2 33 0 0.098
203 375 2 2 0 6 33 1 0.128
204 375 2 3 0 3 34 0 0.281
205 375 2 4 0 5 33 1 0.173
206 375 2 5 1 7 32 1 0.221
207 375 2 6 1 6 31 1 0.239
208 375 2 7 1 7 31 1 0.26
209 375 2 8 0 1 39 0 0.156
210 375 2 9 0 2 33 0 0.109
211 375 2 10 1 3 32 0 0.113
212 375 2 11 1 0 37 0 0.121
213 375 2 12 1 7 33 1 0.033
214 375 2 13 1 1 32 0 0.056
215 375 2 14 0 4 31 1 0.1
216 375 2 15 0 6 35 1 0.161
217 375 2 16 1 4 31 0 0.15
218 375 2 17 0 0 31 0 0.224
219 375 2 18 1 7 31 1 0.165
220 375 2 19 1 6 33 1 0.193
221 375 2 20 1 3 32 0 0.18
222 375 2 21 1 0 31 0 0.164
223 375 2 22 0 5 33 1 0.066
224 375 2 23 0 3 31 0 0.113
225 375 2 24 0 3 31 1 0.126
226 375 2 25 1 3 35 0 0.043
227 375 2 26 0 5 38 1 0.073
228 375 2 27 0 7 35 1 0.125
229 375 2 28 1 0 31 0 0.045
230 375 2 29 1 0 37 0 0.073
231 375 2 30 1 5 31 1 0.02
232 375 2 31 0 3 31 0 0.061
233 375 2 32 1 1 33 0 0.128
234 375 2 33 0 0 31 1 0.272
235 375 2 34 1 7 31 1 0.083
236 375 2 35 0 6 31 1 0.226
237 375 2 36 0 4 31 0 0.14
