datID sessionID block trial stimGlobA stimGLobB weightA correctResp resp rt
144 443 1 63 23 41 1 2 3 12.988
145 443 1 64 23 41 1 2 2 0.388
146 443 1 65 23 41 1 6 6 3.388
147 443 1 66 23 41 1 3 4 2.315
148 443 1 67 23 41 2 8 8 1.099
149 443 1 68 23 41 1 3 3 1.718
150 443 1 69 23 41 1 3 3 0.457
151 443 1 70 23 41 1 4 3 0.349
152 443 1 71 23 41 1 7 6 1.757
153 443 1 72 23 41 1 5 6 3.359
154 443 1 73 23 41 2 8 8 0.773
155 443 1 74 23 41 1 1 1 2.361
156 443 1 75 23 41 1 1 1 0.438
157 443 1 76 23 41 1 5 5 3.977
158 443 1 77 23 41 1 1 1 1.434
159 443 1 78 23 41 1 2 1 0.542
160 443 1 79 23 41 1 5 6 6.213
161 443 2 0 23 41 1 3 5 1.421
162 443 2 1 23 41 1 4 5 2.386
163 443 2 2 23 41 1 4 4 0.642
164 443 2 3 23 41 1 2 3 1.425
165 443 2 4 23 41 1 5 5 1.005
166 443 2 5 23 41 1 6 7 0.909
167 443 2 6 23 41 1 1 1 3.977
168 443 2 7 23 41 2 8 8 0.88
169 443 2 8 23 41 1 6 6 2.469
170 443 2 9 23 41 1 2 4 1.961
171 443 2 10 23 41 1 2 2 0.674
172 443 2 11 23 41 1 5 5 2.991
173 443 2 12 23 41 1 4 4 2.095
174 443 2 13 23 41 1 4 4 0.514
175 443 2 14 23 41 1 6 6 1.36
176 443 2 15 23 41 1 5 5 1.879
177 443 2 16 23 41 1 3 3 1.19
178 443 2 17 23 41 1 4 4 0.948
179 443 2 18 23 41 1 5 5 1.177
180 443 2 19 23 41 1 3 2 1.344
181 443 2 20 23 41 1 2 2 0.641
182 443 2 21 23 41 1 3 3 0.67
183 443 2 22 23 41 1 3 3 0.619
184 443 2 23 23 41 1 7 7 5.427
185 443 2 24 23 41 1 2 3 8.662
186 443 2 25 23 41 1 5 5 1.489
187 443 2 26 23 41 1 1 1 1.518
188 443 2 27 23 41 1 3 3 1.928
189 443 2 28 23 41 1 7 7 2.401
190 443 2 29 23 41 1 5 6 1.08
191 443 2 30 23 41 1 2 3 3.298
192 443 2 31 23 41 1 7 8 0.788
193 443 2 32 23 41 1 4 5 2.072
194 443 2 33 23 41 1 7 7 1.797
195 443 2 34 23 41 1 3 4 2.992
196 443 2 35 23 41 1 1 1 2.059
197 443 2 36 23 41 1 4 3 1.633
198 443 2 37 23 41 1 4 4 0.765
199 443 2 38 23 41 1 3 3 0.647
200 443 2 39 23 41 2 8 8 1.521
201 443 2 40 23 41 2 8 8 0.488
202 443 2 41 23 41 1 4 4 3.217
203 443 2 42 23 41 1 4 4 0.391
204 443 2 43 23 41 1 2 2 1.806
205 443 2 44 23 41 1 5 6 3.181
206 443 2 45 23 41 1 6 6 1.682
207 443 2 46 23 41 2 8 8 1.222
208 443 2 47 23 41 1 7 8 0.653
209 443 2 48 23 41 1 3 4 2.196
210 443 2 49 23 41 1 1 1 1.213
211 443 2 50 23 41 1 6 7 5.108
212 443 2 51 23 41 1 7 8 1.016
213 443 2 52 23 41 1 6 6 1.798
214 443 2 53 23 41 1 4 5 1.849
215 443 2 54 23 41 2 8 8 0.752
216 443 2 55 23 41 1 7 7 0.889
217 443 2 56 23 41 1 6 6 0.76
218 443 2 57 23 41 1 7 7 0.783
219 443 2 58 23 41 1 1 1 2.957
220 443 2 59 23 41 2 8 8 0.686
221 443 2 60 23 41 1 3 3 11.113
222 443 2 61 23 41 1 4 4 0.771
223 443 2 62 23 41 1 4 4 0.764
224 443 2 63 23 41 1 4 4 0.387
225 443 2 64 23 41 1 6 6 3.179
226 443 2 65 23 41 1 7 7 0.724
227 443 2 66 23 41 2 8 8 0.461
228 443 2 67 23 41 1 5 6 0.994
229 443 2 68 23 41 1 3 4 1.086
230 443 2 69 23 41 1 6 6 2.478
231 443 2 70 23 41 1 5 6 0.53
232 443 2 71 23 41 1 7 8 1.602
233 443 2 72 23 41 1 3 4 4.48
234 443 2 73 23 41 1 1 1 1.407
235 443 2 74 23 41 1 1 1 0.748
236 443 2 75 23 41 1 1 1 0.577
237 443 2 76 23 41 2 8 8 0.799
238 443 2 77 23 41 1 3 3 4.73
239 443 2 78 23 41 2 8 8 1.269
240 443 2 79 23 41 1 6 8 0.473
241 444 0 0 23 41 1 1 3 2.624
242 444 0 1 23 41 1 2 3 0.863
243 444 0 2 23 41 1 3 4 0.925
244 444 0 3 23 41 1 1 1 1.006
245 444 0 4 23 41 1 7 8 1.596
246 444 0 5 23 41 1 4 4 0.957
247 444 0 6 23 41 2 8 8 0.813
248 444 0 7 23 41 2 8 8 0.421
249 444 0 8 23 41 1 4 4 1.642
250 444 0 9 23 41 1 4 4 0.384
251 444 0 10 23 41 1 4 4 0.358
252 444 0 11 23 41 1 1 2 1.054
253 444 0 12 23 41 1 5 4 1.017
254 444 0 13 23 41 1 4 3 0.868
255 444 0 14 23 41 1 5 5 0.982
256 444 0 15 23 41 1 6 7 1.813
257 444 0 16 23 41 1 2 2 1.181
258 444 0 17 23 41 1 2 2 0.421
259 444 0 18 23 41 1 3 3 0.704
260 444 0 19 23 41 1 1 1 0.833
261 444 0 20 23 41 1 4 3 1.062
262 444 0 21 23 41 2 8 8 1.095
263 444 0 22 23 41 1 5 4 1.17
264 444 0 23 23 41 1 2 3 1.17
265 444 0 24 23 41 2 8 7 1.116
266 444 0 25 23 41 1 5 4 0.861
267 444 0 26 23 41 1 4 4 1.101
268 444 0 27 23 41 1 5 5 0.775
269 444 0 28 23 41 1 1 2 2.448
270 444 0 29 23 41 1 6 7 0.95
