datID sessionID block trial flanker target resp rt
1 414 0 0 1 3 1 0.651
2 414 0 1 0 1 0 0.494
3 414 0 2 1 2 0 0.763
4 414 0 3 0 5 1 0.525
5 414 0 4 1 3 0 0.62
6 414 0 5 1 0 0 0.55
7 414 0 6 0 0 0 0.458
8 414 0 7 0 5 1 0.512
9 414 0 8 0 2 1 0.615
10 414 0 9 1 5 1 0.569
11 414 0 10 0 5 1 0.563
12 414 0 11 0 0 0 0.439
13 414 0 12 0 0 0 0.446
14 414 0 13 0 4 1 0.736
15 414 0 14 1 4 1 0.472
16 414 0 15 1 5 1 0.459
17 414 0 16 1 0 0 0.526
18 414 0 17 1 2 0 0.561
19 414 0 18 0 5 1 0.455
20 414 0 19 1 2 0 0.613
21 414 0 20 1 5 1 0.522
22 414 0 21 1 3 0 0.703
23 414 0 22 0 3 0 0.741
24 414 0 23 1 1 0 0.784
25 414 0 24 0 4 1 0.502
26 414 0 25 1 5 1 0.497
27 414 0 26 1 2 0 0.568
28 414 0 27 0 5 1 0.502
29 414 0 28 0 5 1 0.461
30 414 0 29 1 5 1 0.442
31 414 0 30 1 5 1 0.513
32 414 0 31 1 0 0 0.557
33 414 0 32 1 5 1 0.527
34 414 0 33 1 2 0 0.618
35 414 0 34 0 2 0 0.731
36 414 0 35 0 0 1 0.595
37 414 0 36 0 0 1 0.521
38 414 0 37 1 2 0 0.994
39 414 0 38 1 0 0 0.421
40 414 0 39 0 3 1 0.674
41 414 1 0 0 4 1 0.655
42 414 1 1 0 5 1 0.457
43 414 1 2 0 0 0 0.408
44 414 1 3 0 4 1 0.584
45 414 1 4 0 0 0 0.397
46 414 1 5 1 2 0 0.674
47 414 1 6 0 5 1 0.569
48 414 1 7 0 1 0 0.589
49 414 1 8 0 1 0 0.551
50 414 1 9 0 1 0 0.49
51 414 1 10 0 3 1 0.672
52 414 1 11 0 0 0 0.541
53 414 1 12 0 0 0 0.48
54 414 1 13 0 3 1 0.698
55 414 1 14 1 0 0 0.575
56 414 1 15 1 5 1 0.692
57 414 1 16 0 5 1 0.555
58 414 1 17 0 0 0 0.646
59 414 1 18 1 0 0 0.517
60 414 1 19 1 4 1 0.665
61 414 1 20 1 3 0 0.773
62 414 1 21 0 0 0 0.884
63 414 1 22 1 4 1 0.666
64 414 1 23 0 0 0 1.173
65 414 1 24 1 3 0 0.524
66 414 1 25 1 5 1 0.577
67 414 1 26 1 0 0 0.424
68 414 1 27 1 3 1 0.804
69 414 1 28 1 1 0 0.413
70 414 1 29 1 1 0 0.437
71 414 1 30 0 5 1 0.519
72 414 1 31 1 3 0 0.791
73 414 1 32 0 5 1 0.547
74 414 1 33 1 1 0 0.531
75 414 1 34 1 0 0 0.378
76 414 1 35 0 4 1 0.521
77 414 1 36 1 0 0 0.478
78 414 1 37 1 0 0 0.433
79 414 1 38 1 2 0 0.608
80 414 1 39 0 0 0 0.525
81 414 2 0 1 0 0 0.445
82 414 2 1 0 5 1 0.445
83 414 2 2 1 0 0 0.555
84 414 2 3 0 1 0 0.646
85 414 2 4 0 2 0 0.81
86 414 2 5 1 5 1 0.56
87 414 2 6 0 5 1 0.566
88 414 2 7 1 5 1 0.617
89 414 2 8 0 2 0 0.645
90 414 2 9 0 0 0 0.656
91 414 2 10 1 0 0 0.48
92 414 2 11 0 4 1 0.652
93 414 2 12 1 0 0 0.643
94 414 2 13 1 4 1 0.62
95 414 2 14 1 4 1 0.69
96 414 2 15 1 3 0 0.892
97 414 2 16 0 1 0 0.559
98 414 2 17 1 4 1 0.67
99 414 2 18 0 0 0 0.537
100 414 2 19 1 4 1 0.614
101 414 2 20 1 5 1 0.524
102 414 2 21 0 3 0 0.827
103 414 2 22 0 5 1 0.936
104 414 2 23 1 2 0 0.644
