datID sessionID block trial correctResp resp rt
200 438 2 39 5 5 0.682
201 438 2 40 7 8 1.606
202 438 2 41 7 7 0.736
203 438 2 42 6 6 0.761
204 438 2 43 8 8 1.43
205 438 2 44 1 1 0.645
206 438 2 45 2 2 1.18
207 438 2 46 6 6 2.243
208 438 2 47 6 6 0.561
209 438 2 48 4 3 1.842
210 438 2 49 5 5 2.704
211 438 2 50 1 1 0.585
212 438 2 51 5 5 1.088
213 438 2 52 8 8 2.723
214 438 2 53 4 4 1.591
215 438 2 54 5 5 1.251
216 438 2 55 2 2 2.189
217 438 2 56 8 8 1.96
218 438 2 57 6 6 4.617
219 438 2 58 7 7 0.91
220 438 2 59 1 1 0.661
221 438 2 60 5 5 4.045
222 438 2 61 2 2 0.898
223 438 2 62 8 8 1.603
224 438 2 63 6 6 2.479
225 438 2 64 6 5 0.94
226 438 2 65 8 8 1.214
227 438 2 66 5 4 3.221
228 438 2 67 6 6 2.174
229 438 2 68 2 2 1.729
230 438 2 69 5 5 1.518
231 438 2 70 7 7 1.72
232 438 2 71 6 7 1.691
233 438 2 72 5 5 2.769
234 438 2 73 8 8 1.048
235 438 2 74 6 6 2.551
236 438 2 75 4 4 2.493
237 438 2 76 5 5 1.065
238 438 2 77 7 7 2.15
239 438 2 78 2 2 1.414
240 438 2 79 1 1 0.598
241 439 0 0 7 6 2.284
242 439 0 1 4 4 1.49
243 439 0 2 6 5 0.849
244 439 0 3 7 6 1.142
245 439 0 4 5 5 0.954
246 439 0 5 6 6 1.085
247 439 0 6 2 2 1.893
248 439 0 7 8 8 1.742
249 439 0 8 2 1 0.735
250 439 0 9 4 4 1.326
251 439 0 10 8 8 2.512
252 439 0 11 3 2 1.074
253 439 0 12 7 7 2.814
254 439 0 13 7 7 0.645
255 439 0 14 7 7 0.418
256 439 0 15 8 8 0.762
257 439 0 16 2 2 2.434
258 439 0 17 6 7 1.48
259 439 0 18 5 3 2.42
260 439 0 19 6 6 1.801
261 439 0 20 8 8 1.078
262 439 0 21 1 1 1.33
263 439 0 22 7 7 1.776
264 439 0 23 6 7 1.362
265 439 0 24 8 8 0.768
266 439 0 25 7 7 2.676
267 439 0 26 7 7 0.606
268 439 0 27 7 7 0.38
269 439 0 28 1 1 1.316
270 439 0 29 1 1 0.472
271 439 0 30 5 4 2.075
272 439 0 31 6 6 0.953
273 439 0 32 6 6 0.525
274 439 0 33 7 7 0.955
275 439 0 34 5 5 1.306
276 439 0 35 5 5 0.444
277 439 0 36 6 6 0.755
278 439 0 37 7 7 1.333
279 439 0 38 5 4 1.205
280 439 0 39 4 4 1.332
281 439 0 40 6 6 2.406
282 439 0 41 4 4 1.036
283 439 0 42 5 5 0.57
284 439 0 43 8 8 1.662
285 439 0 44 1 1 1.116
286 439 0 45 5 6 3.112
287 439 0 46 1 1 0.973
288 439 0 47 3 2 1.66
289 439 0 48 5 4 1.116
290 439 0 49 6 6 0.813
291 439 0 50 8 8 1.171
292 439 0 51 2 2 1.371
293 439 0 52 1 1 0.683
294 439 0 53 7 7 1.752
295 439 0 54 1 1 1.145
296 439 0 55 2 2 0.947
297 439 0 56 2 2 0.468
298 439 0 57 1 1 0.47
299 439 0 58 4 5 1.036
300 439 0 59 6 5 1.721
301 439 0 60 1 1 1.05
302 439 0 61 2 2 0.966
303 439 0 62 4 4 1.576
304 439 0 63 3 2 0.51
305 439 0 64 7 6 1.855
306 439 0 65 7 7 0.712
307 439 0 66 8 8 0.64
308 439 0 67 3 3 1.52
309 439 0 68 8 8 1.721
310 439 0 69 4 3 2.604
311 439 0 70 6 6 2.117
312 439 0 71 4 4 1.504
313 439 0 72 8 8 1.164
314 439 0 73 8 8 0.645
315 439 0 74 7 6 0.944
316 439 0 75 6 5 0.769
317 439 0 76 3 3 1.518
318 439 0 77 3 3 0.456
319 439 0 78 1 1 1.07
320 439 0 79 2 2 0.699
321 439 1 0 6 4 3.645
322 439 1 1 4 3 0.878
323 439 1 2 5 5 1.005
324 439 1 3 5 5 0.523
325 439 1 4 8 8 1.886
326 439 1 5 4 3 2.745
327 439 1 6 8 8 1.126
328 439 1 7 4 3 1.265
329 439 1 8 3 3 0.446
330 439 1 9 5 5 2.053
331 439 1 10 2 2 1.608
332 439 1 11 7 7 1.44
333 439 1 12 3 2 1.198
334 439 1 13 5 5 1.605
335 439 1 14 1 1 0.923
336 439 1 15 8 8 1.595
337 439 1 16 3 3 2.438
338 439 1 17 4 4 0.777
339 439 1 18 3 3 1.184
340 439 1 19 6 6 1.638
341 439 1 20 4 4 1.763
342 439 1 21 4 4 0.539
343 439 1 22 1 1 1.07
344 439 1 23 1 1 0.425
345 439 1 24 6 6 1.455
346 439 1 25 6 6 0.461
347 439 1 26 4 4 1.473
348 439 1 27 6 7 0.861
349 439 1 28 7 7 0.526
350 439 1 29 2 2 1.392
351 439 1 30 3 3 0.703
352 439 1 31 8 8 1.786
353 439 1 32 7 7 1.045
354 439 1 33 2 2 1.237
355 439 1 34 2 2 0.427
356 439 1 35 7 7 3.169
357 439 1 36 5 5 1.322
358 439 1 37 1 1 1.131
359 439 1 38 7 8 1.317
360 439 1 39 6 6 1.028
361 439 1 40 4 4 1.523
362 439 1 41 1 1 0.957
363 439 1 42 4 4 2.158
364 439 1 43 8 8 1.679
365 439 1 44 6 5 3.347
366 439 1 45 5 5 0.551
367 439 1 46 6 7 0.887
368 439 1 47 8 8 0.827
369 439 1 48 5 5 0.737
370 439 1 49 5 6 0.538
371 439 1 50 2 2 1.206
372 439 1 51 4 5 1.73
373 439 1 52 5 5 0.493
374 439 1 53 4 3 2.001
375 439 1 54 2 2 1.159
376 439 1 55 4 4 1.071
377 439 1 56 1 1 0.875
378 439 1 57 2 2 0.83
379 439 1 58 6 6 11.347
380 439 1 59 2 2 1.188
381 439 1 60 3 3 1.388
382 439 1 61 6 6 2.222
383 439 1 62 5 4 1.623
384 439 1 63 4 4 0.809
385 439 1 64 8 8 1.12
386 439 1 65 8 8 0.426
387 439 1 66 1 1 0.991
388 439 1 67 3 3 0.912
389 439 1 68 4 4 0.659
390 439 1 69 4 4 0.527
391 439 1 70 6 7 2.033
392 439 1 71 5 5 1.586
393 439 1 72 2 2 1.242
394 439 1 73 5 6 1.071
395 439 1 74 8 7 1.783
396 439 1 75 6 6 0.826
397 439 1 76 1 1 1.008
398 439 1 77 3 3 1.145
399 439 1 78 4 4 1
400 439 1 79 2 2 1.538
401 439 2 0 2 2 1.582
