datID sessionID block trial WordInt ColorInt TrueInt Cong Correct Response rt
124 141 1 123 0 0 1 1 1 1 0.59
125 141 1 124 1 1 1 1 0 0 1.621
126 141 1 125 0 0 0 1 0 1 0.539
127 141 1 126 3 3 2 1 1 2 2.368
128 141 1 127 2 1 0 0 0 2 2.119
129 141 1 128 0 1 2 0 1 2 1.723
130 141 1 129 1 1 2 1 1 2 0.602
131 141 1 130 1 1 3 1 1 3 0.441
132 141 1 131 0 0 2 1 1 2 0.742
133 141 1 132 0 2 0 0 1 0 0.575
134 141 1 133 3 3 0 1 0 2 0.863
135 141 1 134 0 0 0 1 1 0 0.432
136 141 1 135 3 3 3 1 1 3 0.637
137 141 1 136 2 2 2 1 1 2 0.427
138 141 1 137 1 2 2 0 1 2 1.704
139 141 1 138 1 2 2 0 1 2 1.111
140 141 1 139 3 3 3 1 1 3 0.756
141 141 1 140 2 0 3 0 0 1 2.277
142 141 1 141 3 3 0 1 0 2 1.147
143 141 1 142 1 2 0 0 0 1 3.218
144 141 1 143 3 2 2 0 1 2 0.591
145 141 1 144 2 2 0 1 1 0 0.454
146 141 1 145 2 2 1 1 0 0 0.642
147 141 1 146 1 1 0 1 0 2 0.939
148 141 1 147 3 3 2 1 1 2 1.561
149 141 1 148 3 3 3 1 1 3 0.47
150 141 1 149 1 1 1 1 1 1 0.442
151 141 1 150 0 1 2 0 0 0 2.094
152 141 1 151 0 0 3 1 1 3 0.451
153 141 1 152 1 1 3 1 0 2 1.111
154 141 1 153 3 1 1 0 1 1 0.751
155 141 1 154 0 1 1 0 0 0 2.63
156 141 1 155 0 0 3 1 0 2 2
157 141 1 156 2 2 2 1 1 2 3.816
158 141 1 157 2 3 2 0 1 2 2.292
159 141 1 158 1 1 0 1 1 0 0.726
160 141 1 159 3 2 0 0 1 0 0.897
161 141 2 160 0 0 3 1 1 3 0.599
162 141 2 161 3 3 3 1 0 1 1.773
163 141 2 162 2 2 3 1 0 0 1.198
164 141 2 163 2 1 3 0 0 1 1.291
165 141 2 164 2 2 1 1 0 2 0.909
166 141 2 165 2 2 1 1 1 1 0.684
167 141 2 166 0 1 3 0 0 0 0.824
168 141 2 167 3 3 1 1 0 0 1.163
169 141 2 168 2 2 2 1 1 2 0.689
170 141 2 169 0 0 2 1 1 2 0.332
171 141 2 170 0 0 0 1 1 0 0.797
172 141 2 171 2 2 0 1 0 2 0.693
173 141 2 172 2 2 0 1 0 2 0.948
174 141 2 173 1 1 0 1 0 3 1.026
175 141 2 174 1 2 2 0 0 1 1.325
176 141 2 175 3 3 2 1 0 0 0.998
177 141 2 176 2 2 0 1 1 0 0.57
178 141 2 177 1 1 1 1 1 1 0.801
179 141 2 178 3 3 1 1 0 0 1.977
180 141 2 179 0 0 0 1 1 0 0.546
181 141 2 180 0 0 1 1 0 0 0.587
182 141 2 181 0 1 2 0 0 1 1.342
183 141 2 182 2 2 0 1 0 2 0.958
184 141 2 183 0 1 3 0 0 2 2.78
185 141 2 184 0 0 1 1 1 1 0.744
186 141 2 185 1 1 2 1 1 2 1.082
187 141 2 186 0 0 3 1 1 3 0.431
188 141 2 187 0 0 1 1 1 1 0.692
189 141 2 188 0 2 3 0 1 3 0.703
190 141 2 189 0 0 1 1 0 2 0.762
191 141 2 190 3 3 0 1 0 1 1.671
192 141 2 191 0 0 3 1 1 3 0.475
193 141 2 192 0 0 1 1 1 1 0.406
194 141 2 193 2 2 3 1 0 1 1.332
195 141 2 194 3 0 1 0 0 2 0.844
196 141 2 195 2 2 0 1 0 2 0.941
197 141 2 196 0 0 0 1 1 0 0.532
198 141 2 197 2 2 3 1 0 2 1.221
199 141 2 198 1 2 0 0 0 2 0.617
200 141 2 199 0 0 0 1 1 0 0.338
201 141 2 200 0 2 3 0 0 1 3.81
202 141 2 201 0 0 2 1 1 2 0.762
203 141 2 202 1 2 3 0 1 3 0.843
204 141 2 203 3 2 1 0 0 2 1.577
205 141 2 204 3 3 3 1 0 0 1.441
206 141 2 205 2 2 0 1 1 0 0.573
207 141 2 206 2 2 1 1 0 2 0.733
208 141 2 207 1 1 1 1 0 2 1.058
209 141 2 208 3 3 3 1 0 2 1.828
210 141 2 209 2 2 2 1 1 2 0.65
211 141 2 210 2 2 2 1 0 1 1.055
212 141 2 211 0 0 1 1 1 1 0.425
213 141 2 212 1 1 0 1 1 0 0.606
214 141 2 213 2 2 3 1 1 3 0.317
215 141 2 214 1 1 3 1 1 3 0.39
216 141 2 215 2 3 2 0 1 2 1.132
217 141 2 216 2 2 0 1 0 1 0.776
218 141 2 217 1 1 2 1 1 2 0.828
219 141 2 218 3 3 3 1 0 0 4.227
220 141 2 219 1 1 2 1 1 2 0.715
221 141 2 220 2 2 3 1 1 3 0.533
222 141 2 221 0 0 2 1 1 2 0.43
223 141 2 222 3 3 3 1 0 0 3.036
224 141 2 223 3 3 1 1 1 1 0.759
225 141 2 224 0 0 3 1 1 3 0.472
226 141 2 225 3 2 1 0 0 2 1.163
227 141 2 226 1 1 2 1 0 1 1.05
228 141 2 227 3 3 3 1 0 2 1.732
229 141 2 228 1 1 3 1 0 2 37.374
230 141 2 229 0 2 3 0 1 3 0.555
231 141 2 230 3 3 2 1 0 1 0.899
232 141 2 231 3 3 3 1 1 3 0.402
233 141 2 232 1 0 1 0 0 2 0.712
234 141 2 233 3 3 2 1 1 2 1.999
235 141 2 234 1 0 3 0 1 3 0.611
236 141 2 235 0 1 2 0 1 2 0.522
237 141 2 236 1 2 1 0 0 0 0.787
238 141 2 237 2 2 1 1 1 1 0.231
239 141 2 238 1 1 0 1 0 2 0.891
240 141 2 239 3 3 1 1 0 3 1.835
241 141 3 240 1 1 2 1 1 2 1.809
242 141 3 241 0 0 1 1 1 1 0.477
243 141 3 242 0 1 0 0 0 2 0.52
244 141 3 243 2 2 2 1 0 0 1.045
245 141 3 244 1 1 2 1 1 2 0.767
246 141 3 245 2 2 0 1 0 1 0.904
247 141 3 246 2 0 0 0 1 0 0.983
248 141 3 247 1 0 3 0 1 3 1.088
249 141 3 248 3 3 0 1 0 3 1.365
250 141 3 249 0 0 3 1 1 3 0.62
251 141 3 250 2 2 0 1 0 1 2.042
252 141 3 251 2 0 1 0 0 0 3.393
253 141 3 252 3 0 1 0 1 1 1.767
254 141 3 253 3 3 3 1 0 2 5.132
255 141 3 254 0 1 1 0 0 2 1.652
256 141 3 255 2 2 1 1 0 0 1.881
257 141 3 256 0 0 1 1 1 1 0.461
258 141 3 257 3 3 2 1 1 2 8.953
259 141 3 258 0 0 1 1 1 1 0.397
260 141 3 259 3 1 0 0 0 2 1.083
261 141 3 260 1 1 2 1 0 0 0.925
262 141 3 261 2 3 1 0 0 2 2.579
263 141 3 262 2 0 0 0 1 0 0.535
264 141 3 263 3 3 3 1 0 0 2.52
265 141 3 264 0 0 2 1 1 2 0.838
266 141 3 265 0 0 1 1 1 1 0.628
267 141 3 266 0 0 2 1 1 2 0.346
268 141 3 267 1 1 0 1 1 0 0.218
269 141 3 268 3 3 3 1 1 3 0.646
270 141 3 269 3 3 3 1 1 3 0.228
271 141 3 270 3 2 1 0 0 3 1.36
272 141 3 271 0 0 1 1 1 1 0.935
273 141 3 272 0 0 2 1 1 2 0.33
274 141 3 273 3 3 3 1 1 3 0.763
275 141 3 274 2 0 3 0 0 1 2.532
276 141 3 275 3 3 2 1 0 0 1.001
277 141 3 276 2 2 0 1 1 0 1.013
278 141 3 277 0 2 0 0 0 1 1.086
279 141 3 278 2 2 0 1 1 0 0.566
280 141 3 279 1 2 1 0 0 2 0.998
281 141 3 280 2 1 0 0 0 2 3.314
282 141 3 281 0 0 0 1 1 0 0.203
283 141 3 282 0 0 3 1 1 3 0.576
284 141 3 283 0 0 2 1 1 2 0.448
285 141 3 284 2 3 3 0 0 1 1.612
286 141 3 285 3 3 1 1 0 2 0.627
287 141 3 286 3 3 0 1 1 0 0.431
288 141 3 287 3 2 0 0 0 2 2.283
289 141 3 288 1 2 3 0 1 3 0.513
290 141 3 289 3 3 3 1 0 2 0.754
291 141 3 290 0 1 2 0 0 1 1.543
292 141 3 291 3 2 0 0 0 2 1.216
293 141 3 292 2 2 3 1 1 3 0.788
294 141 3 293 2 2 3 1 0 1 2.324
295 141 3 294 2 2 2 1 1 2 0.561
296 141 3 295 2 2 0 1 1 0 0.473
297 141 3 296 2 2 3 1 1 3 0.38
298 141 3 297 0 0 3 1 0 2 1.251
299 141 3 298 3 3 2 1 0 0 1.606
300 141 3 299 1 0 0 0 0 2 2.013
301 141 3 300 3 3 3 1 0 0 2.149
302 141 3 301 2 2 2 1 1 2 1.4
303 141 3 302 1 1 2 1 0 0 1.034
304 141 3 303 0 0 2 1 1 2 0.916
305 141 3 304 0 1 1 0 1 1 0.592
306 141 3 305 0 1 1 0 1 1 1.974
307 141 3 306 1 1 2 1 1 2 0.58
308 141 3 307 3 2 3 0 0 0 1.388
309 141 3 308 2 1 0 0 0 2 0.818
310 141 3 309 3 1 2 0 1 2 0.437
311 141 3 310 0 0 1 1 0 0 1.241
312 141 3 311 3 3 1 1 0 2 1.053
313 141 3 312 2 2 1 1 0 2 2.487
314 141 3 313 1 2 0 0 1 0 0.526
315 141 3 314 1 1 1 1 0 2 0.567
316 141 3 315 3 3 1 1 1 1 0.739
317 141 3 316 3 3 2 1 0 3 0.876
318 141 3 317 0 0 0 1 0 1 0.572
319 141 3 318 0 2 2 0 0 3 1.472
320 141 3 319 1 2 0 0 0 1 1.123
