datID sessionID block trial WordInt ColorInt TrueInt Cong Correct Response rt
1 141 0 0 0 0 2 1 1 2 0.629
2 141 0 1 1 2 1 0 0 2 1.521
3 141 0 2 0 0 1 1 1 1 0.746
4 141 0 3 3 3 3 1 0 2 2.092
5 141 0 4 1 2 0 0 0 2 1.345
6 141 0 5 0 1 2 0 1 2 3.713
7 141 0 6 3 0 2 0 1 2 1.48
8 141 0 7 3 3 2 1 0 1 2.095
9 141 0 8 3 3 0 1 1 0 0.716
10 141 0 9 1 1 2 1 1 2 2.991
11 141 0 10 2 2 1 1 1 1 0.744
12 141 0 11 2 1 1 0 0 2 1.53
13 141 0 12 0 1 0 0 0 3 1.339
14 141 0 13 2 2 1 1 0 2 3.515
15 141 0 14 2 3 0 0 0 2 4.902
16 141 0 15 2 1 3 0 0 2 2.813
17 141 0 16 1 1 0 1 1 0 0.672
18 141 0 17 3 3 1 1 0 2 1.956
19 141 0 18 0 0 3 1 0 0 1.206
20 141 0 19 2 2 3 1 0 2 1.658
21 141 0 20 2 2 3 1 1 3 1.046
22 141 0 21 1 1 2 1 1 2 0.822
23 141 0 22 1 1 2 1 1 2 0.492
24 141 0 23 2 1 3 0 1 3 1.471
25 141 0 24 1 2 0 0 1 0 1.071
26 141 0 25 3 3 0 1 1 0 0.453
27 141 0 26 0 1 1 0 0 3 3.368
28 141 0 27 2 2 3 1 0 2 0.888
29 141 0 28 2 2 3 1 0 1 1.504
30 141 0 29 1 1 1 1 0 2 0.922
31 141 0 30 2 0 1 0 0 0 1.537
32 141 0 31 3 3 0 1 0 2 1.442
33 141 0 32 2 2 1 1 0 3 1.205
34 141 0 33 0 0 1 1 1 1 2.722
35 141 0 34 0 0 0 1 1 0 0.605
36 141 0 35 0 0 3 1 1 3 0.46
37 141 0 36 3 3 2 1 1 2 1.04
38 141 0 37 1 1 1 1 0 0 1.335
39 141 0 38 3 0 1 0 0 0 0.999
40 141 0 39 1 1 3 1 0 2 2.562
41 141 0 40 2 3 2 0 1 2 2.542
42 141 0 41 3 3 3 1 1 3 0.575
43 141 0 42 0 1 2 0 0 3 2.319
44 141 0 43 0 0 1 1 0 2 1.164
45 141 0 44 0 0 1 1 1 1 0.547
46 141 0 45 0 0 3 1 0 0 0.892
47 141 0 46 1 1 1 1 0 2 0.9
48 141 0 47 1 2 1 0 0 2 1.612
49 141 0 48 3 3 1 1 0 0 1.57
50 141 0 49 0 1 3 0 0 2 1.282
51 141 0 50 0 1 3 0 0 2 1.668
52 141 0 51 2 3 3 0 0 2 2.272
53 141 0 52 2 0 2 0 0 0 1.884
54 141 0 53 1 1 1 1 1 1 1.24
55 141 0 54 3 3 2 1 1 2 2.168
56 141 0 55 1 1 1 1 0 0 1.519
57 141 0 56 3 3 2 1 1 2 0.68
58 141 0 57 0 0 2 1 0 0 2.413
59 141 0 58 2 2 1 1 0 3 1.998
60 141 0 59 0 0 0 1 0 1 1.59
61 141 0 60 1 1 0 1 1 0 0.965
62 141 0 61 2 2 0 1 0 2 1.455
63 141 0 62 0 0 1 1 1 1 1.267
64 141 0 63 0 0 1 1 1 1 0.354
65 141 0 64 0 2 1 0 1 1 0.473
66 141 0 65 0 0 2 1 1 2 0.628
67 141 0 66 1 1 0 1 0 2 2.266
68 141 0 67 3 3 3 1 1 3 2.241
69 141 0 68 2 2 3 1 1 3 0.589
70 141 0 69 2 2 3 1 1 3 0.836
71 141 0 70 3 2 2 0 1 2 1.323
72 141 0 71 0 1 1 0 0 2 2.584
73 141 0 72 3 1 2 0 1 2 1.363
74 141 0 73 3 3 1 1 0 0 0.735
75 141 0 74 2 2 1 1 1 1 0.924
76 141 0 75 1 1 0 1 1 0 0.711
77 141 0 76 2 3 1 0 0 2 1.178
78 141 0 77 2 2 0 1 1 0 0.216
79 141 0 78 0 1 2 0 1 2 1.181
80 141 0 79 1 1 3 1 1 3 0.551
81 141 1 80 3 3 1 1 1 1 1.516
82 141 1 81 3 2 3 0 1 3 0.57
83 141 1 82 1 1 1 1 1 1 0.402
84 141 1 83 0 0 3 1 1 3 0.415
85 141 1 84 1 1 0 1 0 3 1.061
86 141 1 85 2 2 2 1 1 2 0.519
87 141 1 86 3 3 1 1 1 1 0.368
88 141 1 87 2 2 0 1 1 0 0.671
89 141 1 88 1 1 0 1 1 0 0.947
90 141 1 89 3 3 0 1 0 2 1.134
91 141 1 90 1 1 0 1 1 0 0.405
92 141 1 91 3 3 2 1 1 2 0.379
93 141 1 92 2 0 1 0 0 0 2.162
94 141 1 93 2 2 1 1 1 1 0.388
95 141 1 94 1 1 1 1 0 3 1.906
96 141 1 95 1 2 2 0 1 2 1.366
97 141 1 96 3 3 0 1 1 0 1.545
98 141 1 97 0 2 2 0 0 1 1.094
99 141 1 98 2 1 2 0 1 2 2.487
100 141 1 99 1 2 0 0 0 1 1.346
101 141 1 100 3 3 2 1 1 2 1.218
102 141 1 101 0 0 2 1 1 2 0.379
103 141 1 102 1 1 1 1 1 1 0.641
104 141 1 103 3 3 2 1 1 2 0.647
105 141 1 104 3 3 1 1 1 1 0.756
106 141 1 105 1 1 2 1 1 2 0.613
107 141 1 106 1 1 0 1 1 0 0.564
108 141 1 107 0 0 0 1 1 0 0.476
109 141 1 108 1 1 1 1 1 1 0.624
110 141 1 109 2 3 0 0 0 2 0.901
111 141 1 110 1 1 0 1 1 0 0.837
112 141 1 111 3 2 1 0 1 1 3.067
113 141 1 112 1 1 1 1 1 1 0.61
114 141 1 113 3 3 3 1 1 3 0.592
115 141 1 114 2 2 0 1 1 0 0.391
116 141 1 115 3 1 0 0 1 0 2.078
117 141 1 116 3 3 3 1 0 2 0.951
118 141 1 117 1 2 0 0 1 0 2.061
119 141 1 118 3 3 1 1 0 2 1.031
120 141 1 119 0 0 0 1 1 0 1.242
121 141 1 120 0 0 2 1 1 2 0.45
122 141 1 121 2 2 2 1 0 1 0.806
123 141 1 122 2 3 0 0 0 1 2.969
